id,zhh,zhh_pron,alias_zhh,alias_zhh_r18,chs,en,note_chs,note_en,variants_chs,variants_en,owner_tag,sig_code
L1,揼波鐘,dam1 bo1 zung1,揼時間；拖延時間​；捱時間；拖拖拉拉；磨时间,,拖延时间/耽误时间/磨洋工/拖拖拉拉,Delay/waste time/drag it out/drag things out/play for time/run down the clock/stonewall/slow walk/string someone along,形容词：磨洋工，不在积极，故意拖长时间，,"adj: Slow down and waste time",用法：无心工作，不上进的状态,usage: A lack of motivation and drive at work.,CanTong Lexicon 2025,1
L2,抌嘢,dam1 laap6 saap3,掟嘢；掉嘢,,扔东西/丢东西/丢/扔,Throwing things/throw/toss/chuck,动词：扔东西，往外扔，有力量,"v: Throwing things, throwing them outwards, has power.",用法：当你想用很洒脱去形容“扔”这个动作,"usage: When you want to describe the action of ""throwing"" as very carefree...",CanTong Lexicon 2025,2
L3,飛啲嘢埋嚟,fei1 go3 bo1 maai4 lai4,飛啲嘢過嚟；車埋嚟,,扔东西过来/丢东西过来,"toss it over here/throw it over here",动词：用很快速度扔了过来，已经进行中，在空中,"v: It was thrown over at high speed; it was already in progress, in the air.",用法：当你想用很快的速度去形容“扔”这个动作,"usage: When you want to describe the action of ""throwing"" as very fast...",CanTong Lexicon 2025,3
L4,𢫨,ung2,㧬；擁；Ong,,推/Ong,push,动词：推动 吴卓羲标志名言“唔好ong”，不要推的意思,"v: The meaning of ""push""",用法：在推动，被推，推某些东西特指”推“这个字或者动作,"usage: In the context of pushing, being pushed, or pushing something, the word ""push"" or the action of pushing is specifically used.",CanTong Lexicon 2025,4
L5,走鬼,zau2 gwai2,摆檔；摆檔攤；走鬼檔；推車仔；做走鬼；擺街；街檔,,摆摊/路边摊/流动贩卖/走鬼摊,stand/set up,名词：路边摊、特指摆摊的行为 ,"n: Street, specifically referring to the act of setting up a stall.   v: to move a vehicle by applying force backward.",用法：无牌经营，可移动跑路的，有着逃跑危机属性,"usage: Describing a business operating without a license, capable of moving and disappearing, and possessing the attributes of an escape crisis.",CanTong Lexicon 2025,5
L6,死雞撑飯蓋,sei2 gai1 caang3 faan6 goi3,死頂；唔认输；死撑；死要面,,不服输/明知错不认/不认错,The dead chicken forcing thelid of the rice pot open,歇后语：不服输，明知自己错了，但为了面子都要装没事、不认错，给人看穿了都不认。,chinese proverb: To refuse toadmit one's mistake evenwhen it is obvious,用法：而「死鸡撑饭盖」就是指明知自己做错了，也仍要死撑下去，目的只是为了一个下台阶，可惜每次都会被人拆穿谎言。,"usage: The idiom ""a dead chicken trying to hold up a rice lid"" means that even though you know you've done something wrong, you still stubbornly insist on doing it, just to save face. Unfortunately, your lies are always exposed.",CanTong Lexicon 2025,6
L7,𠮩𠹌,liu1 lang1,𠵇𠺫；撩棱；捞绞；刁​鑽；泶嫪,,冷门/刁钻/怪异/不常见/另类,uncommon/rare and strange/niche/raretricky/complicated/difficult/similar to,形容词：麻烦复杂难搞，刁钻，奇怪,adj: Rare and strange,用法：形容刁钻，奇怪癖好,usage: Describing someone as cunning or having strange quirks.,CanTong Lexicon 2025,7
L8,噉, gam2 ,噉樣；噉點？,,这样/那样/那,like this/such/in this way/like/in the manner of/to to certain level,代词：具体的方式、那样；描述事件、动作的状态,"pron: The specific method, that way; describing the state of events and actions.",用法：这样+adj/adv；摆在形容词前面,"usage: This way, add adj/adv;Placed before the adj",CanTong Lexicon 2025,8
L9,咁, gam3,咁犀利；咁劲,,这么/那么,like this/so/to such an extent/this/in this manner/like/seems/well/then/that,代词：表达一个程度,"pron: Rxpressing a degree, modifying adjectives or verbs.",用法：这么+adj/v；摆在形容词动词前面,usage: So + adj/v; placed before adj and v,CanTong Lexicon 2025,9
L10,點樣,dim2 joeng2,點；點樣樣；點鬼樣,,怎么样/如何/怎样,how/what way/what's with it/what's up/how's it like/what is it like,代词：指​一樣​事情的做法​、​行动的方式,"pron: Usually added in front of a verb to ask how something is / should be done) how to; what",用法：寻求解决方案，对事情没有发展方向可用,"usage: Seeking solutions, but having no direction for how things are going.",CanTong Lexicon 2025,10
L11,緊要,gan2 jiu3,要緊；关键；交關,,要紧/重要/夸张,crucial/important/vital/exaggerate/critical,形容词：意义或价值重大，非常之值得或需要注意，甚至不能够缺乏；可以造成深远影响,"adj: It is of great significance or value, extremely worthy of attention, and even indispensable; it can have a profound impact.",用法：1，事情很重要要求快点解决要重视。2，形容一件事情太夸张了你给出的反应。,"usage: 1. The matter is very important and needs to be resolved quickly it deserves our attention.
2. Your reaction to describing something as an exaggeration.",CanTong Lexicon 2025,11
L12,咁上下,gam3 soeng6 haa2,差唔多；左右；係咁上下,,达到一定水平/差不多/大致上/普普通通/大差不差/接近了/一般般,that's about it/pretty much/same difference/not faroff/a little bit/approximate/insignificant/unassuming/ordinary and mediocre/approximately/so-so,副词：达到一定水平，还差一点就完美，差不多,adv: To describe something that reaches a certain standard or level,用法：将就一下，差不多也就这样的意思,"usage: This is about right, just make do.",CanTong Lexicon 2025,12
L13,咁大隻蛤乸隨街跳,gam3 daai6 zek3 gaap3 naa2 ceoi4 gaai1 tiu3,咁抵？；坚唔坚吖？；咁好死？；咁着數？,,沒有免費的午餐/天上不会掉馅饼,too good to be true/It's not that simple/something too good to be true/There is no free lunch,（俗語）一些巨大的利益诱惑随处可得，背后往往隐藏意想不到的陷阱,"(Proverb) While enormous profits are readily available, they often conceal unexpected traps.",用法：遇到不合理的情况，无法想象是真的，对此描述,"usage: Encountering unreasonable situations, it's unimaginable that they are real,this description...",CanTong Lexicon 2025,13
L14,咁啱得咁蹺, gam3 ngaam1 dak1 gam3 kiu2,咁啱；咁橋；咁錯蕩；啱啱遇著剛剛,,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧/巧合/这么巧,coincide/coincidentally/fortuitously/by chance,副词：没刻意去做，偶尔发生,"adv: I didn't do it intentionally, it just happened occasionally.",用法：遇到巧合的情况，对此描述,"usage: In cases of coincidence, describe this.",CanTong Lexicon 2025,14
L15,咁多人死唔見你死,gam3 do1 jan4 sei2 m4 gin3 nei5 sei2 ,走開啦；行開啦；死開啦,,应该死的不去死/该死不死/这么多人死为什么你不去死,"damn it, yet still alive/So many people are dying, why don't you die/why don't you die when there's so much death",（俗語）用来骂人，暗指对方应该去死,"(Proverb) An insulting expression indirectly depicting one should be dead, ""still with us?""; literally: so many people have died, but I don't see you dying",用法：对对方恨之入骨，向对方消失却还活着,"usage: Used to describe someone who hates another person to the core, disappears from their life but still lives.",CanTong Lexicon 2025,15
L16,咁近城隍廟都唔求支好籤,gam3 kan5 sing4 wong4 miu2 dou1 m4 kau4 zi1 hou2 cim1,唔識把握機會,,不会把握机会,to fail to take advantage of an opportunity,歇后语：大神在旁边不会把握机会,chinese proverb: to fail to take advantage of an opportunity,用法：形容有捷径不走偏要辛苦自己,"usage: It describes the situation where there are shortcuts, but instead of taking the wrong path, one has to work hard.",CanTong Lexicon 2025,16
L17,盟塞,mang4 sak1,㒼塞；食古不化；咁大個都唔化；點唔明；講唔通；硬頸；萌塞；盲塞；墨守成規；冥頑不靈,,思想不开通/吃古不化,narrow minded/conservatives/fuddy duddy/dogged/stubborn/obstinate,形容词：今浙江谓物无窍六为䓣不会泄气亦目䓣,adj: So old-fashioned,用法：封闭不开窍，不通不化的老古板,"usage: Describing someone as closed-minded, uninformed, and old-fashioned.",CanTong Lexicon 2025,17
L18,失覺曬,sat1 gok3 saai3,唔好意思；失禮曬；唔该,,不好意思/失礼了,so sorry/Excuse me,动词；谦虚时说的话；冒犯之后使用,v: Phrases used when being humble; Phrases used after an offense,用法：礼貌致歉，等于不好意思,"usage: Used to politely apologize, equivalent to feeling embarrassed.",CanTong Lexicon 2025,18
L19,猛龍過江,maang5 lung4 gwo3 gong1,過江龍；捞过界,,有能力到外/有本身到外/异地发展/在外地拼搏/在外地谋生/有本事的到外发展/比喻有才专华有才能的人才敢想敢拼,ability to go to other places,形容词：象征有实力或魄力的人跨地域闯荡,adj: It symbolizes a person with strength or courage who ventures across regions.,用法：指有能力、有本事到外地去开创事业或参与竞争的人,usage: This describes someone who has the ability and skill to start a business or compete in other places.,CanTong Lexicon 2025,19
