id,zhh,zhh_pron,is_r18,chs,en,register,intent
L1,揼波鐘,dam3 bo1 zung1,0,拖延时间/耽误时间/磨洋工/拖拖拉拉/浪费时间,time consuming/play for time,Slang,Time description/Behavioral state
L2,揼時間,dam1 si4 gaan3,0,拖延时间/耽误时间/磨洋工/拖拖拉拉,waste time/dawdle/stall for time/stall for prolong,Colloquial,Time description/Behavioral state
L3,拖延時間​,to1 jin4 si4 gaan3,0,拖延时间/耽误时间,waste time/dawdle/stall for time/stall for prolong,Formal,Time description/Behavioral state
L4,拖時間​,to1 si4 gaan3,0,拖延时间/耽误时间,waste time/dawdle/stall for time/stall for prolong,Colloquial,Time description/Behavioral state
L5,捱時間,ngaai4 si4 gaan3,0,拖延时间/耽误时间/磨洋工/拖拖拉拉,Delay/waste time/drag it out/drag things out/play for time/run down the clock/stonewall/slow walk/string someone along/kill time,Colloquial,Time description/Behavioral state
L6,磨时间,mo4 si4 gaan1,0,拖延时间/耽误时间/磨洋工/拖拖拉拉,Delay/waste time/drag it out/drag things out/play for time/run down the clock/stonewall/slow walk/string someone along,Colloquial,Time description/Behavioral state
L7,拖拖拉拉,to1 to1 laai1 laai1,0,拖延时间/耽误时间/磨洋工/拖拖拉拉,Delay/waste time/drag it out/drag things out/play for time/run down the clock/stonewall/slow walk/string someone along,Colloquial,Time description/Behavioral state
L8,抌功夫,dam2 gung1 fu1,0,所需时间较长,It takes a long time,Slang,Time description/Behavioral state
L9,抌功,dam2 gung1 ,0,所需时间较长,It takes a long time,Slang,Time description/Behavioral state
L10,抌人波鐘,dam3 jan1 bo1 zung1,0,浪费别人时间,Wasting other people's time,Colloquial,Time description/Behavioral state
L11,死蠢,sei2 ceon2,0,笨蛋/蠢货,dumb/imbecile/incredibly stupid/brain dead/silly,Colloquial,curse
L12,蠢材,ceon2 coi4,0,笨蛋/蠢货,dumb/imbecile/incredibly stupid/a fool/an idiot/fool/idiot,Colloquial,curse
